name.unique	san	url
Kadas Opening: Kadas Gambit 2	1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3	https://lichess.org/NBafacon
Kadas Opening: Kadas Gambit 3	1. h4 e5 2. d4 exd4 3. c3	https://lichess.org/NH220zKx
Kadas Opening: Myers Variation	1. h4 d5 2. d4 c5 3. e4	https://lichess.org/WnbddJra
Kadas Opening: Schneider Gambit	1. h4 g5	https://lichess.org/cuUmFAJQ
Kadas Opening: Steinbok Gambit	1. h4 f5 2. e4 fxe4 3. d3	https://lichess.org/VIUPFcVo
Lasker Simul Special	1. g3 h5	https://lichess.org/5LLZIow7
Mieses Opening	1. d3	https://lichess.org/JVK1XddT
Mieses Opening: Myers Spike Attack	1. d3 g6 2. g4	https://lichess.org/7XOjRKBq
Mieses Opening: Reversed Rat	1. d3 e5	https://lichess.org/lWaStamr
Polish Opening	1. b4	https://lichess.org/6JxbSpgo
Polish Opening: Baltic Defense	1. b4 d5 2. Bb2 Bf5	https://lichess.org/EKnUBm8t
Polish Opening: Birmingham Gambit	1. b4 c5	https://lichess.org/qrwf2hpu
Polish Opening: Bugayev Advance Variation	1. b4 e5 2. Bb2 f6 3. b5	https://lichess.org/EOisBH5W
Polish Opening: Bugayev Attack	1. b4 e5 2. a3	https://lichess.org/KZ9BCsyj
Polish Opening: Czech Defense	1. b4 e5 2. Bb2 d6	https://lichess.org/5eL4BEvQ
Polish Opening: Dutch Defense	1. b4 f5	https://lichess.org/vUPM4Qlf
Polish Opening: German Defense	1. b4 d5 2. Bb2 Qd6	https://lichess.org/QxCarhHc
Polish Opening: Grigorian Variation	1. b4 Nc6	https://lichess.org/y8Of6q18
Polish Opening: Karniewski Variation	1. b4 Nh6	https://lichess.org/3Z9495oB
Polish Opening: King's Indian Variation	1. b4 Nf6 2. Bb2 g6	https://lichess.org/JibfpWcy
Polish Opening: King's Indian Variation, Schiffler Attack	1. b4 Nf6 2. Bb2 g6 3. e4	https://lichess.org/5n1V3KWT
Polish Opening: Myers Variation	1. b4 d5 2. Bb2 c6 3. a4	https://lichess.org/RVg6b5bY
Polish Opening: Orangutan-Diemer Gambit	1. b4 d5 2. Bb2 Qd6 3. a3 e5 4. e4 dxe4 5. f3	https://lichess.org/MFsCaWwl
Polish Opening: Orangutan-Hartlaub Gambit	1. b4 Nf6 2. Bb2 e6 3. a3 c6 4. d3 a5 5. bxa5 d5 6. e4	https://lichess.org/oNRc6OGE
Polish Opening: Outflank Variation	1. b4 c6	https://lichess.org/XvcGa15v
Polish Opening: Queen's Indian Variation	1. b4 e6 2. Bb2 Nf6 3. b5 b6	https://lichess.org/ZdIjDkst
Polish Opening: Queenside Defense	1. b4 e6 2. Bb2 Nf6 3. b5 a6	https://lichess.org/GrFOqnNb
Polish Opening: Rooks Swap Line	1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1	https://lichess.org/IoGljcJm
